tweet	sarcasm	sentiment
من أعذب مفردات #الحياة وأجملها هو #اعطاء العذر لغياب البعض ! [[ لان سيد #البشر تحدث عن #التماس العذر ]] ، صلوات الله ع…	0	1
@mohmad3033 والله مهو كلهم يبو سلطان..الاعلام الغربي يبي يصور لنا ان الشيعة خطر ويبي يصور للشيعة أنفسهم ان السنة خطر عليهم	0	0
إلى حد البكاءِ على يديكِ، أحاول أن أغني، و أعرف أنني وطنٌ و منفى، و أني لست مني، و لكني، أحاولُ أن أغني، حين أبكي	0	0
"تايملاين يليق بيه فيلم ""الأرهاب والكباب"" بدخلة يسرا المفاجأة 😌😃"	1	0
مع كامل محبتي الشخصيّة للرؤساء عون وبريّ والحريري، لا تفهموني خطأ؟؟؟ عندما يقبل الرئيس ميشال عون بأن ينتخب من قبل... https://t.co/U0ffFBkR7u	0	0
في ناس غاويا كدب وكمان بتخاف فيديو متفبرك تماما مندوبتنا في ليسيه الحرية مادخلتش اللجنة أصلا بس حركات مفضوحة	0	0
#النّازحين_السّوريّين بيعتبرو اللي صار ب #حلب تحرير ومبسوطين وعم بِهللو#بس_هيك😊	1	0
RT @aawsat_News: #نجاح_الحج1437ه | النجاحات #السعودية المتوالية في تنظيم #الحج تلجم أفواه المشككينhttps://t.co/Ovq7tMPWda https://t.co/dy…	0	1
RT @AbuAltahish6: @hrw_ar @aboaqil2010 امريكا هي راعية الارهاب .وتحالفها الدولي لضرب داعش انما هو لدعم داعش وكبيرتها السعودية العالم يعرف…	0	0
#يلا_نحفل_علي_احمد_ادم الرد هشتاج بردوا #باسم_طلع_حرامى	1	0
@DimaSadek الفرق بين الصورتين هي صورة لاهالي الجنوب في حرب تموزوالصوره الثانية لنزوح أهالي حلب الفرق النازحين السور… https://t.co/NC2lPOKHke	0	0
وقالو سعيدة في حياتها 😣 #إليسا	0	0
"إذاغيب الموت ""نعناع الجناين""فإن حكاء مصرالأصيل سيظل حاضرافى الوجدان المصرى بأعماله التى جسدت أحلام المهمشين،رحم الله""صياد اللولى""خيرى شلبى"	0	1
ف #مصر #شخصية_مريبة متعرفش #بيشتغل لحساب مين بالظبط اسمو #نجيب_ساويرس بيعمل #قناة #لجاسوس اسمه #يسرى_فودة ليستضيف #عميل_برخصة اسمه #جمال_عيد	1	0
#ميشيل_تويني: كيف تم إخفاء معالم من موقع التفجير عند إغتيال #جبران_تويني ومن المسؤول ولماذا لم يُحرّك الملف كل هذا الوقت؟@MichelleTueini	0	0
@LaaHooB_Q8 @alhurranews خلاص طاح الحطبو بوكيمون يبدى قلقه	1	0
لمصر شعب يحميها رب أجعل هذا البلد آمنا مطمئنا	0	1
"إثر هجومهما ""الهمجي"" على #حلب.. البيت الأبيض يحذر الأسد و #روسيا#سوريا #واشنطن #روسيا_تحرق_حلب #تدمير_المشافي"	0	0
#عرب48 | تطويق الأخبار الكاذبة على #فيسبوك: تهدد الديمقراطية https://t.co/jxeLkHwWy0	0	0
بعد الإنتخابات الأمريكية الأخيرة أثبت الإعلام الغربي أنه إعلام موجّه وغير صادق وأثبت الإعلام العربي أنه ببغائي بامت… https://t.co/jBCZQ61Dkx	1	0
فى مصر الانقلاب تعلو اصوات العهر والدعارة وتخفض اصوات الحق والعدل والشرفاء تحكمهم بيادة تلاحقهم رصاصة تأويهم سجون	0	0
النازحين السوريين منحاشين من قتل بشار وحزب الله وايران  لهمراحوا حق لبنان اللي تحكمها ايران وحزب اللهدخلك راح يعالجونهم بفلوس الكويت ؟!!	0	0
ياويلللي اعوذ بالله #ماذا_لو_المدارس_مختلطه	0	0
بلغ التدني بالبعض حد وضع صورتي واسمي على حسابات تويتر مزيفة وإستخدامها للتطاول على حبيبتي وزوجتي وللخوض في عرضي، وتداولها عبر مواقع غير جادة	0	0
#رمضان_الخير قرب	0	1
RT @alsrkhyalhasany: #الصرخي_يكشف_زيف_المدلسينانحرف السنة والشيعة بسبب داعش والسيستانيمقتبس من بحث (السيستاني ما قبل المهد الى ما بعد الل…	0	0
عامل كهربائي يستغل وقت فراغه في عشر ذي الحجة في قراءة القرآن كتب الله أجره وغفر ذنبه #عشر_ذي_الحجة	0	1
#مركز_تدريب_قياده_للنساء_فقط هههههه دنتم مسخره ياراقل هونو على انفسكم يامجن فرنسا	1	0
عندما يرفع #راهب_مقدسي #الاذان من #كنيسة في #القدس، فهذا ما يفسر أحد أسرار شعب الجبارين في #فلسطين المحتلة.https://t.co/z45LAkRgIT	0	1
#الاعلام_رسالهكاذبه الكل ينشر فيها ما يريد و اذا كانت حجته ضعيفه اضاف كم صورة لمراة او لطفل اما جرحى او موتي لكي يكسب تعاطف المجتمع الدولي!	0	0
جوجل بلاي مقموص :3	1	0
@abo_raged حملت البرنامج وجربتو في اسطنبولبس موجود خيار واحد من والى المطار#اوبر موشغال هنا	0	0
"#فيدرر:"" حماسي وحبي للعبة يقوى أكثر وأكثر وأتطلع للمشاركة في بطولة استراليا المفتوحة"" https://t.co/bbjFC2aeQO"	0	1
البلد اللي اليسار فيها ممكن يتحالف مع اليمين المتطرف عمرها ما تتقدم #فكره_لمصر_تتقدم_بيها	0	0
من المخجل ان يكون بوتن هو الذي ينذركم مما وعد الله ،، يا مسلمين !!https://t.co/lqPN3e1Xr1	1	0
#حلب : #الجيش_السوري يحكم سيطرته على كامل الأقسام الشرقية لـ #حي_كرم_القاطرجي ، و #حي_باب_النيرب و #حي_الحلوانية.	0	0
تجنن ويد  https://t.co/ZQqei5eMdy	0	1
قرار رئيس الجمهورية بعودة البرلمان للانعقاد صحيح و التنفيذ الصحيح لحكم المحكمة الدستورية يكون في الإنتخابات القادمة	0	1
RT @M__albugaily: قردوغان حليف اسرائيل يدعم تنظيم داعش في سوريا ومع ذلك لم يغضب عليه أحد ويهدده كما يفعل مع مصر التي تواجه الإرهاب بشكل عام…	1	0
@AbuAbufadel هيلاري كلنتون تصلي من اجل وسخ الدنيا والرئاسة الملعونه تنافق لليهود من اجل كرسي الرءاسه لان الصهيونيه العالميه تقرر من الرءيس	0	0
حمد لله تخرجت #ماذا_لو_المدارس_مختلطه	0	0
اللهم بلغنا رمضاااااااااان #نفسي يرجع بقا	0	1
تشافي: أفتقد اللعب مع برشلونة.. وبيكيه مستاء ومحبط هذا المحتوى من : كتب: أيمن جيلبرتو https://t.co/oUnIxRfaod https://t.co/4fBThzQgxQ	0	0
هل هذه هي الديمقراطية؟ هل وزعت أيضا أموال على طلاب جامعة النيل والقيادات النقابية لزعزعة الاستقرار؟ هل بالأمن والقمع سنتعامل مع الاحتجاجات؟	0	0
حق شهدائنا يضيع بشكل منظم نظامنا القضائي عاجز عن القصاص والجهات التشريعية والتنفيذية لم تدعمه، ومحاسبة كل من قصر في جمع الأدلة ضرورة	0	0
إنت فاكر إن متابعتك لأفلامي أهم من بلدي؟ في ستين ألف داهية وإوعى ترجع في كلامك قبل ما تعتذر على جهلك	0	0
يعني ناس قعدت تنكر تعرية ست البنات وبعدين قعدت تبرره مستني منهم فجأة ينتفضوا لكرامة الإنسانللأسف كلنا هندفع تمن غياب العدل في هذا البلد	1	0
روبرت دي نيرو مهاجما دونالد ترامب: كلب وخنزير وغبي https://t.co/JAicUONtyh	0	0
#خطر_في_القدس... يزداد الخطر بزيادة الغفلة واللامبالاة في قضايا #القدس وآخرها صوت مآذنها الذي يقاوم #الاحتلال	0	0
@RTarabic احلى مافي تركيا إنها استقبلت السوريين النازحين وأستقبلت الدواعش للتدريبهم ودخولهم للسوريا والعراق مأجور يا عمو رجب بن طيب	1	0
RT @14__moony: سـاعـة الإشتيـاق ليس لهـا عقـارب .. ومع ذلك تلدغـك في كـل ثانيـة تعيشهـا#قروب_خواطر_للدعم#قروب_فيدرر_للدعم	0	0
RT @dr_naseer: الطائفية هي أن تبكي على أطفال حلب في الصباح وتضحك على قتل أطفال صنعاء في المساء. الموضوعية هي أن تتبرأ من قتل الأبرياء في كل…	0	0
"البقرة ""د""  وأجندة اليمين الإلحادي المتصهين الإرهابي  اليمين المتطرف الإلحادي المتصهين ، هي حركة إرهابية ، في... https://t.co/ewgUztqRcJ"	1	0
صعود #اليمين_المتطرف: مخاطر هائلة على العالم https://t.co/gI6thAwMfG https://t.co/nAcDDGRWSN	0	0
حرية التعبير لا تتضمن التحريض على العنف و الفتنة الطائفية بل هو خطاب كراهية	0	0
عمال مصر هم عماد الوطن، تكرار الإعتداء على العمال يؤكد ان دولة مبارك لم تسقط وان تغيرت الوجوه	0	0
"لبنان جاب جورج كلوني ""صهر""، وسوريا عملت ريكي مارتن ""كنّة""... 😎 https://t.co/Xme6psdqbr"	1	0
انتخابات الرئاسة في النمسا: هزيمة مرشح اليمين المتطرف نوربرت هوفر أمام فان دير بيلين https://t.co/fehz9Y3BHM	0	0
9سبتمبر عيد الفلاح الذى ظلمته السلطة واهملته المعارضة نحتاج لاصلاح زراعى جديد و نقابة مستقلة للفلاحين لا تغيير بدون الجماهير وفى قلبها الفلاحين	0	0
اشرب ياقصير العمر منك له لها وياللي خربتوها ونهايتكم السجن او القتل لان اصلكم مجرمين واللي عملنكم بريطانيا من 85... https://t.co/8krvlB2TUj	1	0
RT @s_h_a_h_d: اللهم انصر الاسلام وأعز المسلميناللهم إنك أنت الجبار فاجبر كسرناوأنت المعز فأعزنا بعزكوأنت المنتقم فانتقم لنا ممن عادانا…	0	1
كنت تأجل وتيجي منك بجميلة وتعمل فيها قعر مجلس وكبير العائلة بس هتقول إيه الغباء السياسي صنعة	1	0
RT @FAWZIALAJI: طفل أمريكي يكتب رسالة للرئيس #أوباما ليسمح للطفل السوري #عمران بدخول #أمريكا ليعيش مع أسرته ويتخذه أخاً!#سوريا https://t.…	0	1
جمعت القروش المميزة في ٣ عوالم.. متعة اللعبة تتلخص في تجميعها + طور الرالي اللي يوسع مملكتك وخياراتك 👍… https://t.co/sDp22n6bBm	0	1
يقال أن إمبراطور #الصين كان يختبر موظفيه مرة واحدة كل ثلاث سنوات، لجس نبض مستواهم الفكري و النتيجة واحدة من اثنين إما الترقية أو الفصل !!!	0	1
#اليمنية| #مليشيات_الحوثي_وصالح تستهدف منازل وقرى المواطنين بمحافظة البيضاءhttps://t.co/3VEeiPQGI3#التحالف_العربي_سند_اليمن	0	0
"RT @LGArabic: عندما سألو ليدي قاقا اذا كانت سـتتنتخب ""دونالد ترامب"" المرشح السياسي العنصري 😂. https://t.co/5XNAtntWne"	1	0
@elissakh يلا اليسيانز كلنا نصوت لافضل البوم في سنة ٢٠١٦ طبعاً اليسا #سهرناياليل #اليسا وصوتو اكثر من مرة https://t.co/il24JppOHr	0	1
حزب الاصلاح ينقل صورة خاطئة عن إذاعة #عدن  المستقبل ويقول انها تابعة لحزب الله كذبتم ولم يصدقكم احد ياحريم السلطان نحن اشرف منكم ياخونه	1	0
عزيزي #ابراهيم_محلب تغطية عجز الموازنه بزيادة الاسعار سياسة المسئول الفاشل قليل الحيله	1	0
هد دايرة و بنلف فيها ، الداخلية مش عايزة بقي في اولتراس فاخترعت مذبخة بورسعيد فالناس تموت فالجمهور يتمنع من الماتشات #الكورة_للجماهير	0	0
@Hamed_Alali @aboalhodaalhoms هذه نتائج ربع تحرير الجزائر من فرنساوخذلان جبة الانقاذ عندما فازت بالانتخاباتأتذكرون؟حدث لهم كما حدث في مصر	0	1
RT @watan_usa: حازم عبد العظيم ساخرا: دبلوماسية مصر السيسي غير مسبوقة في تاريخ الدول https://t.co/zzDnkBSfXy https://t.co/no3FKECTFn	1	0
#اوعى_تنسى طوابير السيسي و اخونه المقابر و زرع فى مل عائله جرح عميق لسه فاكر و انت نسيت؟؟	1	0
@malak_alhusaini ابي ايفووووووووون نفسسسسسسسي بالايفوووووووون اللله يسعددددك 😭😭😭😭😭😭😭	0	1
كيف تشكلت صورة السعودي لدى الإعلام الغربي؟ وما هو الدور الذي كان يؤديه مرتزقة الإعلام؟تتبع المال يكشف حقيقة هذه المساعي #فضيحة_تركي_الدخيل	1	0
@iishz16 كفو ي جستن بيبر 😂	0	1
نعلم ما تمثله مصر لإفريقيا وندعم خارطة الطريق #السادة_المحترمون	0	1
@manna987 @manae2006 قال له : النصر حليفك .. لعنة الله عليهما .. لافرق بينهما #جرائم #بوتن	1	0
المعارضة تسترجع مواقع في #حلب.. والمعارك تتواصلhttps://t.co/3SwQz656i9#السعودية #سوريا https://t.co/rn60BB6CNl	0	0
رفع الشعارات السياسية في الحج حرام شرعاً وخيانة وطنية …	0	0
ستحل الجمعة القادمة الملكة @elissakh ضيفة عمرو أديب في برنامج كل يوم جمعة لأول حلقاته وحتكون #اليسا فله وشمعه ومنوره https://t.co/VMhwkLGqOw	0	1
@abuyemmen @alhanouf0690 ترى انت واحد بس من ضن اليمنين الشرفا اللي ما صاروا كلاب إيران ، إيران دمرت العراق سوريا والان انتم وتكذب عليكم	1	0
إحنا عندنا ثقافة اعتياد للقبح، ثقافة اعتياد للقذارة، آردوغان قدر انه يبدأ نهضته بالنظافة، شيراك لما كان عمدة…	0	0
Bonjour 💗💗وبخصوص الملابس تجننن والشوز والتنورة 😍🔥🔥  وكل شيء بالحلقة كان رائع 😘🙈@nadinenjeim #nadinenassibnjeim… https://t.co/nDyHgC0Ude	0	1
اعلنوا انهم لقوا اثار مواد متفجرة على جثث ضحايا طائرة مصر للطيران اللي وقعت من سبع شهور !! https://t.co/ZLWWMxi2DY	0	0
يكفينا فخرا انو بتاريخ هالجمهورية اجا رجال عالرئاسة الاولى اسمو ميشال عون..	0	1
"كنت أعتقد أن خدمة ""غوغل ترجمة"" سيئة جدًا إلى أن جربت ""بينغ"". ملك جمال الترجمة #غوغل 😅"	1	0
RT @Rashedalkaabiii: والله عيب حتى #ميسي قام يطقطق علينا 😅✋🏼حد يشوف لنا حل 💔🇦🇪#مهدي_علي_برع #انقذوا_الحلم #اقاله_مهدي_علي https://t.co/…	1	0
كذلك فيه البعض يفضل التأكسي على اوبر او كريمبالرغم من جهل الراكب لمعلومات السائق وحتى معلومات السيارة٣#اوبر#كريم	0	0
@ArabShop اخوي بغيت اشتري عربية أطفال و البائع امازون وحاطين وزن الشحنة 11 ونص كيلو .. وتشحن مباشر للسعودية لكن غالي شوي 600 ريال .. يتبع.	0	0
RT @m3lomt_11: فرحه مصري لدخول رجل الى الأسلام ! ما شاء الله عليه :) https://t.co/0Fp5EzMmBv6660	0	1
إستمتعنا وأسعدتينا كالعادهوأبداً ما بنكتفي بكم ساعة من اللقاء عايزين أكتر ودائماً بنتعلم منك ♡Love You NNN… https://t.co/eUD0FY4mRg	0	1
قد ﻳﺒﻄﺊ ﺍﻟﻨﺼﺮ ﻷ‌ﻥ ﺍﻟﺒﻴﺌﺔ ﻻ‌ ﺗﺼﻠﺢ ﺑﻌﺪ لإ‌ﺳﺘﻘﺒﺎﻝ ﺍﻟﺤﻖ ﻭﺍﻟﺨﻴﺮ ﻭﺍﻟﻌﺪﻝ ﺍﻟﺬﻱ ﺗﻤﺜﻠﻪ ﺍﻷ‌ﻣﺔ ﺍﻟﻤﺆﻣﻨﺔ سيد قطب	0	0
عبفتاح السيسي أوميجا العالمى #انتخبوا_العرص	1	0
سايب صاحبك يهزر معاك و يشتمك بامك ؟ معلش اصلها فكرت نفسها جابت راجل طلع #سيكو_سيكو	1	0
@Lionel__FCB انا اقول واحد يلبس شورت ميسي وتمشي الامور	1	0
#لافروف يعارض مشروع الهدنة ويتوعد المعارضة بـ #حلب#اخبار #سوريا https://t.co/ZN5U0trqGm	0	0
آلايآم يا حبيبي بتجري ولسه آنا مستنية 💔☹️️#اليسا https://t.co/bMJlXKqX9O	0	1
من الطبيعي ان تجد شخصا منافقا ومن الممكن ان تجد رجل دين منافقا لكن ما يفعله على جمعه تخطى كل الحدود	1	0
وتتوالى الإبداعات في العالم العربي #اﻷم_المثالية في مصر #سمير_جعجع رئيساً للبنان #والعرص_ابن_العرص مرشح للرئاسة	1	0
ملوك الاناقه والفخامة طبعاا قميص غوتشي لابس تاي تاي😊😀😀 https://t.co/l61kPhg9Tj	0	1
أنا أبكي !! وأدري أن دموع العين خذلان وملح !! #محمود درويش	0	0
نسيت أقولك إنك لو مؤمن بعدل ربنا لازم تطلع مبارك من السجن أو تحصله لأنك مسئول سياسيا عن قتل مواطنين مصريينبلوك وريبورت سبام	0	0
طعمة ... بتزيّن سفرة العيد#tequenos #christmas #tasty #cheese #sheeserolls #lebanon https://t.co/PmMhOPHvMu	0	1
بالفيديو يوسف الحسيني بيهزق الحكومة انتوا حكومه بلاميطي	1	0
@drMkmo5رحم الله عز الدين القسام واحمد ياسين عندها كانت فلسطين تحت ضل راية فلسطينليسو تحت راية #فتح او #حماس اللهم وحد الصف والعن الخونه	0	1
شجرة عيد الميلاد ، رمز الحياة و النور#kronfol #ilovekronfol #lebanon #christmas https://t.co/ZnORyTaCkG	0	1
@saadhariri الرئيس #سعد_الحريري :سنظل على قسم  الشهيد #جبران_تويني بأن نبقى موحدين دفاعا عن وطننا https://t.co/MMzbLKsJkL	0	1
أشكركم جميعاً على وقتكم الثمين والساعة لا تكفي معكم	0	1
ضباط النظام السوري الرافضي يقدمون نساءسوريا للضباط الروس جيش الدياثه اسمعوا{جيبلو بنت من الدفاع الوطني فورا https://t.co/FJJEpgjz2a  #اليمن	0	0
هو لما يكون النظام السورى قمعى اروح واقف فى صف جبهة النصرة  وال 160  مليشيا المسلحة من كل ارجاء الدنيا  اؤيدها وابررلها وممكن انضم لها  كمان	0	0
أين المتشدقين علينا بجرافات الموت التي ترسلهم مصراتة دعم لثوار بنغازي ... بوتن يعزز حفتر بجرفات و صواريخ للموت حلال… https://t.co/rfS9deMPsy	0	0
@OsamaSa52154927 @asealolat قاعد تترجل على التويتر ادهب لتنصر جبهة النصرة في حلب لتفرح بك فرنسا وامريكا في مجلس الامن	1	0
@Moaazf1 @sabqorg يادلخ منتخب الارجنتين اللي يلعب فيه ميسي بيلعب في كأس العالم 2018 بروسيا واذا تقابلت السعوديه مع الارجنتين ياحمار المولد ب	1	0
2525 أنا برضه اللي بتكلم زي عمر سليمان؟ ده شكله متعلم منكم وبكل أمانة أنا كنت أحترمكم أيضاً ولكن كفاية وهم لحد هنا	1	0
هم يتغزلون و انتي مثل بومه هاري بوتر توصلين الكلام https://t.co/lWEFPRK0tj	1	0
# : شمروخ فى الايد يغنى والنار رمز احتفال وان جيت فى يوم تلومنى مش عالبال # : وتعيش الاولتراس بتحارب على مر السنين #الكورة_للجماهير	0	1
#ستولتنبرغ| سنعمل مع الرئيس الأمريكي المنتخب #ترمب لتطوير حلف #الناتو#مباشر #تركيا	0	1
@Alito_NBA @ChrisBHaynes علي اللحية خذ جوالي	1	0
وعلى قولة #فيروز ..وينن وين صواتن وين وجوهن وينن؟صار في وادي بيني وبينن ..بيوجعني قلبي من هالمنظر..حىتى لو عالتلفزيون ..بحس بالغربة #دمشق	0	0
١١ سنة و بعدك حرقة بالقلب.. بس صوتك باقي اعلى من ابواق الخونة و القتلة. رح يجي نهار و ينتصر في النور عالظلمة..#جبران_تويني	0	0
RT @Counselkremlin: زعلانيين على التصويت المصري ضد الارهاب .. يعنى تبونهم يحاربون الارهاب في سيناء ويأيدونه في سوريا .. !!هذا منطق الاع…	1	0
انه دائماً من الرائع أن تكسب الجوائز لأن هذا يعني انك قدمت موسماً جيداً #تشلسي #تشيلسي	0	1
"قرار جمهوري بتعيين رئيس الجمهورية أصدق من انتخابات ""تعبيرية"" مقصور حق الترشح فيها على خمسة أفراد لنقاطع هذا العبث كفانا خداع للشعب"	0	0
"أزمة دبلوماسية حادة بين موسكو وباريس بسبب ""سورية""https://t.co/pWmXwK6KFs https://t.co/biecOOuiQJ"	0	0
كلية استغفر الله العظيم المعيدين عايزين يعملوا فيها دكاترة وبيشتغلوا علي مزاجهم #فنون_تطبيقية #دمياط	1	0
RT @Yousiif65: هاري بوتر؟👓🎩 https://t.co/959OoWvGZr	0	1
كتير متحمسة لحتى احضر هي المقابلة😌💕 #اليسا #elissa https://t.co/SMiHlSQjTp	0	1
@MajdKanaann @doip52otud9UVpJ قلك كونوا أنصار اللهمصدقين انهم المقصودين في القرانولبنانحزب الله الا ان حزب الله هم الغالبونوهابية الشيعه	0	0
RT @dotemirates: أسهم #تويتر تنخفض 20% بعد تراجع #غوغل و #ديزني عن الرغبة في شرائهhttps://t.co/1JXvKQ8cCI	0	0
الله يبارك فيكي يا هند	0	1
فشخين الدنيا ب احمد الشيخ وانه هداف الدوري برصيد ٨ اجوال منهم ٥ ضربات جزاء !! اللي فتح الله عملها قبله عادي	1	0
#روسيا_الصليبيةمايحدث في سوريا من قتل وتدمير  حرب صليبية ضد المسلمين بمباركة من بطريرك روسيا قبيل بدء الحرب .	1	0
أرى أن النظام المختلط بين النظام البرلماني والنظام الرئاسي هو الانسب لنا هذه الفترة التى تتوزع فيه السلطة	0	0
"RT @PhilosopherSaud: - الممثل روبيرت دي نيرو ، يهاجم المرشح ""دونالد ترامب"" ويصفه بالكلب والخنزير ، ويدعو إلى التصويت ضده !! https://t.co/…"	1	0
@Adnan_Jas ابو جستن وش الإبداع في صياغة المشاعر غطيت على جستن بيبر	0	1
#اعترافات_الطفولة احب كونان واحلم يرجع سينشي ونتزوج	0	1
والعسكر سيطر ظلم اتجبر للشر حضر ع الحدود زي الفراخ وع الحريم يتشطر #عسكر_كاذبون	1	0
سلاماعلى شهداء الانتصارالعربى ، وتحية الى قواتنا المسلحة التى عبرت بمصر من الهزيمة الى النصر (إن ينصركم الله فلا غالب لكم)	0	1
أيها المتحدثون عن شرع الله هل يوجد في شرع الله تهمة اسمها العيب في الذات الملكية هل من شرع الله التعاون العسكري مع امريكا لتحتل العراق	1	0
مولانا التيس	1	0
نفتخر بيك يا سيسي يا نور عيني نفتخر بيك ياااا رئيسنا يا غالي ❤🌼❤🌼❤🌼❤🌼❤ https://t.co/AKjwWPCv5k	0	1
رامي عياش_ رائع بحبك رائع https://t.co/tOxExGwf4k	0	1
اسرائيل تفرض أول غرامة على مسجد بسبب رفع الأذان https://t.co/2Ckdno8lXJ #رفع_الأذان #فلسطين	0	0
RT @a10892944: انتي ممحونه انتي .. انتي تنزلي صور ولاد وتقولي هييييح انتي 😂غوتشي غوتشي غوتشي 😁	1	0
RT @GantElfrdwos: مش هنرسم خريطة جديدة لمصر يا سيسيايهلسه هتبيع حاجات تانيطيب نرسمها لما الاكازيون يخلص	1	0
RT @nbenotman: عندي نصيحتين في التغريدتين التاليتين أتمنى التفكير فيهما بتمعن خلال غيابي عنكم كم يوم بسبب أنغماسنا في مكافحة الأرهاب أقليمي…	0	1
آه الناس حواليك بتحب مرسي وماله؟ بس مرسي ماهواش أغلى عند الناس دي من رزق عيالها ومن مستقبلها ولو حست إنه فاشل مش عارف يحل هتقلب عليه وعليك	0	0
الفحم وصل يا استاذنا واحنا واقفين نتفرج #أوقفوا_الفحم #حكومه_تقتل_المرضى	1	0
RT @HUN_0_TER: @Counselkremlin الرئيس #الروسيفلاديمير بوتين :يشرح كيف انشأ اوباما داعش https://t.co/Gx2lgHyVA5	0	0
مو معقوووولة لاعبين بهالحجم غياب لاعب حتى لو هاللاعب هو #ميسي ياخي شلون تبي تحقق مونديال وأنت بدونه ضاااااايع !!!!#الارجنتين_البارغواي	1	0
رئيس شعبة المستوردين: مصر تتعرض لحرب اقتصادية شرسة بعد فشل الإرهاب #مصر https://t.co/Q1qwDZzHUQ	0	0
