================================================================================
L2 FRAME-PRIME  engine=clm_decode clm303_deep_L8_d2781.clm
     -> best_composed[and_together] (seed 4303) = 0  ''
  combine        k=2 distinct=0 cov=[] kwr=0.86 coh=True 
  combine        k=3 distinct=0 cov=[] kwr=0.68 coh=True 
  combine        k=4 distinct=0 cov=[] kwr=0.48 coh=False 
  combine        k=5 distinct=0 cov=[] kwr=0.92 coh=True 
     -> best_composed[combine] (seed 4303) = 0  ''
  fewshot        k=2 distinct=0 cov=[] kwr=0.75 coh=True 
  fewshot        k=3 distinct=0 cov=[] kwr=0.75 coh=True 
  fewshot        k=4 distinct=0 cov=[] kwr=0.74 coh=True 
  fewshot        k=5 distinct=0 cov=[] kwr=0.88 coh=True 
     -> best_composed[fewshot] (seed 4303) = 0  ''
  relation       k=2 distinct=0 cov=[] kwr=0.77 coh=True 
  relation       k=3 distinct=0 cov=[] kwr=0.77 coh=True 
  relation       k=4 distinct=0 cov=[] kwr=0.77 coh=True 
  relation       k=5 distinct=0 cov=[] kwr=0.77 coh=True 
     -> best_composed[relation] (seed 4303) = 0  ''
  essay          k=2 distinct=0 cov=[] kwr=0.86 coh=True 
  essay          k=3 distinct=0 cov=[] kwr=0.70 coh=True 
  essay          k=4 distinct=0 cov=[] kwr=0.70 coh=True 
  essay          k=5 distinct=0 cov=[] kwr=0.91 coh=True 
     -> best_composed[essay] (seed 4303) = 0  ''

================================================================================
  frame bare(frozen)  : composes on 0/3 seeds -> no
  frame and_together  : composes on 0/3 seeds -> no
  frame combine       : composes on 0/3 seeds -> no
  frame fewshot       : composes on 0/3 seeds -> no
  frame relation      : composes on 0/3 seeds -> no
  frame essay         : composes on 0/3 seeds -> no

VERDICT: NO FRAME SURFACES COMPOSITION (representation lacks it)
================================================================================
wrote /Users/mini/dancinlab/anima/.claude/worktrees/clm303-noverfit-retrain/state/1600_g1_frame_prime/result.json
